    INT     ,    INT     ,    FLOAT     ,    FLOAT     ,     FLOAT     ,      FLOAT      ,              FLOAT              ,     FLOAT     ,    FLOAT     ,        FLOAT         ,              FLOAT              ,     FLOAT     ,    FLOAT     ,        FLOAT         ,    FLOAT     ,    FLOAT     ,      FLOAT       ,      FLOAT       ,     FLOAT     ,     FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,      FLOAT       ,      FLOAT       , BOOL  , BOOL ,     BOOL      ,        INT        ,     INT      ,        INT        ,     INT      , INT  
     -      ,     -      ,     Msol     ,     Msol     ,      AU       ,        -        ,                -                ,       -       ,      -       ,          -           ,                -                ,       -       ,      -       ,          -           ,    yr^-1     ,    yr^-1     ,      kms^-1      ,      kms^-1      ,    kms^-1     ,    kms^-1     ,      -       ,      -       ,      -       ,        -         ,        -         , State ,Event ,     Event     ,         -         ,      -       ,         -         ,      -       ,  -   
     ID     ,    SEED    , Mass@ZAMS_1  , Mass@ZAMS_2  ,Separation@ZAMS,Eccentricity@ZAMS,SN_Kick_Magnitude_Random_Number_1,SN_Kick_Theta_1,SN_Kick_Phi_1 ,SN_Kick_Mean_Anomaly_1,SN_Kick_Magnitude_Random_Number_2,SN_Kick_Theta_2,SN_Kick_Phi_2 ,SN_Kick_Mean_Anomaly_2, Omega@ZAMS_1 , Omega@ZAMS_2 ,Sigma_Kick_CCSN_NS,Sigma_Kick_CCSN_BH,Sigma_Kick_ECSN,Sigma_Kick_USSN,LBV_Multiplier,WR_Multiplier ,   CE_Alpha   ,Metallicity@ZAMS_1,Metallicity@ZAMS_2,Unbound,Merger,Merger_At_Birth,Stellar_Type@ZAMS_1,Stellar_Type_1,Stellar_Type@ZAMS_2,Stellar_Type_2,Error 
      461839,  4079225159,  3.571557e+01,  1.140618e+01,   3.171451e+00,     0.000000e+00,                     8.484142e-01,   3.181970e-01,  5.199921e+00,          2.443317e+00,                     7.358714e-01,  -5.269878e-01,  5.303394e+00,          5.543554e+00,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  1.500000e+00,  1.000000e+00,  1.000000e+00,      1.420000e-02,      1.420000e-02,1,0,0,                  1,            14,                  1,             1,    46
      464584,  4079225160,  1.345300e+01,  7.619704e+00,   8.447063e+00,     0.000000e+00,                     4.547897e-01,   8.581089e-01,  2.704467e+00,          5.740954e+00,                     5.564094e-01,   8.813283e-02,  3.958699e+00,          3.019021e+00,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  1.500000e+00,  1.000000e+00,  1.000000e+00,      1.420000e-02,      1.420000e-02,1,1,0,                  1,             8,                  1,            15,    46
      470445,  4079225161,  1.957066e+01,  6.738076e+00,   5.121413e-01,     0.000000e+00,                     2.752210e-02,  -1.321129e-01,  2.606792e+00,          2.703127e+00,                     5.995468e-01,   1.006479e+00,  1.906601e+00,          5.357322e+00,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  1.500000e+00,  1.000000e+00,  1.000000e+00,      1.420000e-02,      1.420000e-02,0,0,0,                  1,            13,                  1,            11,    46
      474882,  4079225162,  6.534174e+00,  1.529448e+00,   4.334173e+00,     0.000000e+00,                     3.305490e-01,   4.700323e-01,  4.155875e+00,          2.677120e+00,                     7.640595e-01,   8.258194e-01,  3.630549e-01,          3.138547e+00,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  1.500000e+00,  1.000000e+00,  1.000000e+00,      1.420000e-02,      1.420000e-02,1,1,0,                  1,            12,                  1,            15,    46
      482479,  4079225163,  7.512112e+00,  4.024501e+00,   4.545461e-01,     0.000000e+00,                     4.229853e-01,   2.188971e-01,  1.531693e+00,          3.439892e+00,                     5.985133e-01,  -8.882329e-01,  9.228129e-01,          2.102421e+00,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  1.500000e+00,  1.000000e+00,  1.000000e+00,      1.420000e-02,      1.420000e-02,0,1,0,                  1,            11,                  1,             9,    46
      493244,  4079225164,  9.362468e+00,  9.058953e+00,   2.647965e+01,     0.000000e+00,                     3.791828e-02,  -2.131577e-01,  3.254663e+00,          4.419692e+00,                     5.437264e-01,  -1.007524e+00,  1.885742e+00,          3.071221e-01,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  1.500000e+00,  1.000000e+00,  1.000000e+00,      1.420000e-02,      1.420000e-02,1,0,0,                  1,            13,                  1,             4,    46
      500933,  4079225165,  9.719506e+00,  4.065694e+00,   1.720741e+01,     0.000000e+00,                     8.919047e-01,   3.347086e-01,  7.405760e-01,          7.195126e-01,                     9.219804e-01,  -3.255328e-01,  3.437961e+00,          1.709509e+00,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  1.500000e+00,  1.000000e+00,  1.000000e+00,      1.420000e-02,      1.420000e-02,1,0,0,                  1,            13,                  1,             1,    46
      506922,  4079225166,  8.837596e+00,  4.821805e+00,   1.323219e-01,     0.000000e+00,                     9.108975e-01,  -6.194342e-01,  5.869120e+00,          6.148465e+00,                     3.022767e-01,  -1.991892e-01,  5.163442e+00,          4.822857e+00,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  1.500000e+00,  1.000000e+00,  1.000000e+00,      1.420000e-02,      1.420000e-02,0,0,0,                  1,            11,                  1,            10,    46
      513051,  4079225167,  5.751799e+00,  2.113512e+00,   4.361311e-01,     0.000000e+00,                     5.177019e-01,  -1.270098e+00,  1.417782e+00,          3.444707e+00,                     7.268891e-02,  -4.627409e-01,  5.829407e+00,          6.338556e-01,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  1.500000e+00,  1.000000e+00,  1.000000e+00,      1.420000e-02,      1.420000e-02,0,0,0,                  1,            11,                  1,            11,    46
      524740,  4079225168,  1.097770e+01,  4.245965e+00,   1.477085e+00,     0.000000e+00,                     8.892298e-01,   9.968408e-01,  1.537616e+00,          6.045978e+00,                     8.789600e-01,   4.212290e-01,  5.739050e+00,          4.764374e+00,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  1.500000e+00,  1.000000e+00,  1.000000e+00,      1.420000e-02,      1.420000e-02,1,0,0,                  1,            13,                  1,             1,    46
